Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
1048,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Action Command,High,Not Started,,Automatic Navigation System may be able to impersonate the context of Network Interface System in order to gain additional privilege.,,Generated
1,Data Flow Action Command Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Action Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
2,Potential Process Crash or Stop for Automatic Navigation System,Denial Of Service,Navigation Automation System,Action Command,High,Not Started,,"Automatic Navigation System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
3,Potential Data Repudiation by Automatic Navigation System,Repudiation,Navigation Automation System,Action Command,High,Not Started,,"Automatic Navigation System claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1128,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Sensors data/ Access logs,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to Intruision Detection System. Consider using a standard authentication mechanism to identify the source process.",,Generated
1127,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to Heat Sensors. Consider using a standard authentication mechanism to identify the source process.",,Generated
6,Potential Lack of Input Validation for Automatic Navigation System,Tampering,Navigation Automation System,Action Command,High,Not Started,,Data flowing across Action Command may be tampered with by an attacker. This may lead to a denial of service attack against Automatic Navigation System or an elevation of privilege attack against Automatic Navigation System or an information disclosure by Automatic Navigation System. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
7,Spoofing the Automatic Navigation System Process,Spoofing,Navigation Automation System,Action Command,High,Not Started,,Automatic Navigation System may be spoofed by an attacker and this may lead to information disclosure by Network Interface System. Consider using a standard authentication mechanism to identify the destination process.,,Generated
8,Engine Control System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Action Command,High,Not Started,,Network Interface System may be able to remotely execute code for Engine Control System.,,Generated
9,Thruster Process Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,Thruster Controller may be able to remotely execute code for Thruster Process Server.,,Generated
10,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,Thruster Process Server may be able to impersonate the context of Thruster Controller in order to gain additional privilege.,,Generated
11,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Engine Automation System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
12,Potential Process Crash or Stop for Thruster Process Server,Denial Of Service,Engine Automation System,Optimal Process Command,High,Not Started,,"Thruster Process Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
1186,Spoofing the Application Server Process,Spoofing,MASS,Server Response,High,Not Started,,Application Server may be spoofed by an attacker and this may lead to unauthorized access to Engine Automation System. Consider using a standard authentication mechanism to identify the source process.,,Generated
14,Data Flow Sniffing,Information Disclosure,Engine Automation System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
15,Potential Data Repudiation by Thruster Process Server,Repudiation,Engine Automation System,Optimal Process Command,High,Not Started,,"Thruster Process Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1133,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Incident reports and alerts,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to Emergency Response and Alert System. Consider using a standard authentication mechanism to identify the source process.",,Generated
1132,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to Shock Sensors. Consider using a standard authentication mechanism to identify the source process.",,Generated
1108,Engine Control System Process Memory Tampered,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,"If Engine Control System is given access to memory, such as shared memory or pointers, or is given the ability to control what Thruster Controller executes (for example, passing back a function pointer.), then Engine Control System can tamper with Thruster Controller. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
19,Generator Controller Process Memory Tampered,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,"If Generator Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Generator Process Server executes (for example, passing back a function pointer.), then Generator Controller can tamper with Generator Process Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
20,Potential Lack of Input Validation for Generator Process Server,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Generator Process Server or an elevation of privilege attack against Generator Process Server or an information disclosure by Generator Process Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
21,Spoofing the Generator Process Server Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Generator Process Server may be spoofed by an attacker and this may lead to information disclosure by Generator Controller. Consider using a standard authentication mechanism to identify the destination process.,,Generated
22,Cross Site Request Forgery,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
23,Elevation by Changing the Execution Flow in Generator Controller,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,An attacker may pass data into Generator Controller in order to change the flow of program execution within Generator Controller to the attacker's choosing.,,Generated
